Fecha,TCR 1/
7/11/13,7.88944
8/11/13,7.87041
9/11/13,7.87041
10/11/13,7.87041
11/11/13,7.86206
12/11/13,7.87194
13/11/13,7.87941
14/11/13,7.91141
15/11/13,7.9144
16/11/13,7.9144
17/11/13,7.9144
18/11/13,7.90038
19/11/13,7.90746
20/11/13,7.91874
21/11/13,7.91907
22/11/13,7.90322
23/11/13,7.90322
24/11/13,7.90322
25/11/13,7.88381
26/11/13,7.88636
27/11/13,7.88371
28/11/13,7.88974
29/11/13,7.90052
30/11/13,7.90052
1/12/13,7.90052
2/12/13,7.89456
3/12/13,7.88589
4/12/13,7.87218
5/12/13,7.86004
6/12/13,7.85954
7/12/13,7.85954
8/12/13,7.85954
9/12/13,7.86089
10/12/13,7.85288
11/12/13,7.85589
12/12/13,7.87151
13/12/13,7.8729
14/12/13,7.8729
15/12/13,7.8729
16/12/13,7.87791
17/12/13,7.87292
18/12/13,7.87675
19/12/13,7.87939
20/12/13,7.87256
21/12/13,7.87256
22/12/13,7.87256
23/12/13,7.85228
24/12/13,7.84394
25/12/13,7.84394
26/12/13,7.84707
27/12/13,7.83401
28/12/13,7.83401
29/12/13,7.83401
30/12/13,7.84137
31/12/13,7.84137
1/01/14,7.84137
2/01/14,7.85738
3/01/14,7.86073
4/01/14,7.86073
5/01/14,7.86073
6/01/14,7.86451
7/01/14,7.88116
8/01/14,7.88673
9/01/14,7.88808
10/01/14,7.87985
11/01/14,7.87985
12/01/14,7.87985
13/01/14,7.85968
14/01/14,7.83971
15/01/14,7.82857
16/01/14,7.83054
17/01/14,7.83127
18/01/14,7.83127
19/01/14,7.83127
20/01/14,7.82465
21/01/14,7.83159
22/01/14,7.83621
23/01/14,7.84648
24/01/14,7.85223
25/01/14,7.85223
26/01/14,7.85223
27/01/14,7.85098
28/01/14,7.84032
29/01/14,7.82835
30/01/14,7.81555
31/01/14,7.81093
1/02/14,7.81093
2/02/14,7.81093
3/02/14,7.79949
4/02/14,7.79349
5/02/14,7.79321
6/02/14,7.79456
7/02/14,7.77945
8/02/14,7.77945
9/02/14,7.77945
10/02/14,7.76597
11/02/14,7.76766
12/02/14,7.7674
13/02/14,7.75407
14/02/14,7.74738
15/02/14,7.74738
16/02/14,7.74738
17/02/14,7.73881
18/02/14,7.75061
